Tempos,Serial,2,3,4,6,8,12,Speedup 2,Speedup 3,Speedup 4,Speedup 6,Speedup 8,Speedup 12,Eficiencia 2,Eficiencia 3,Eficiencia 4,Eficiencia 6,Eficiencia 8,Eficiencia 12
2000000000,"33,985271333333300","17,198336005666700","11,462824266333300","8,604593411166670","6,040056943000000","6,504072763833330","4,432913276666670","1,976079041724480","2,964825294683190","3,949666150317890","5,626647505818610","5,225229262857030","7,666577081988070","0,988039520862238","0,988275098227729","0,987416537579473","0,937774584303102","0,653153657857129","0,638881423499006"
2200000000,"37,497885833333300","18,874101953833300","12,610707103333300","9,455744119500000","6,615723335333330","7,159479558500000","4,878758089833330","1,986737484255110","2,973495897261910","3,965619771373020","5,667994855991660","5,237515594106900","7,685948994165920","0,993368742127556","0,991165299087304","0,991404942843254","0,944665809331944","0,654689449263362","0,640495749513826"
2400000000,"40,817112333333300","20,606246454166700","13,750750752333300","10,331936850333300","7,210622776500000","7,803155817166670","5,335690567666670","1,980812586325250","2,968355187909080","3,950577023902010","5,660691676502560","5,230846761195920","7,649827480753430","0,990406293162624","0,989451729303026","0,987644255975502","0,943448612750427","0,653855845149490","0,637485623396119"
2600000000,"44,345542833333300","22,318473912000000","14,886673686666700","11,204745389166700","7,809511982333330","8,490924146500000","5,801015187666670","1,986943328122900","2,978875185062440","3,957746587995560","5,678401279574420","5,222699210145790","7,644445221866480","0,993471664061448","0,992958395020814","0,989436646998889","0,946400213262403","0,652837401268223","0,637037101822207"
2800000000,"47,855531333333300","24,014811526333300","16,060764430833300","12,101402110333300","8,458273740000000","9,143968929666670","6,263601243000000","1,992750652273810","2,979654644673120","3,954544349242780","5,657836670267580","5,233562329599680","7,640258291795820","0,996375326136905","0,993218214891039","0,988636087310695","0,942972778377931","0,654195291199960","0,636688190982985"
3000000000,"51,368995666666700","25,959641853500000","17,180580818833300","12,893661218166700","9,069842844166670","9,783175881166670","6,703731029500000","1,978802171330450","2,989945229928200","3,984050363777960","5,663713974901450","5,250748457416140","7,662747124044150","0,989401085665226","0,996648409976067","0,996012590944490","0,943952329150242","0,656343557177018","0,638562260337013"
3200000000,"54,869047833333300","27,598414538666700","18,315863800166700","13,745579696500000","9,624612987500000","10,407988618000000","7,186445900166670","1,988123185716310","2,995711719194700","3,991759463393490","5,700909522761560","5,271820507032510","7,635074221050050","0,994061592858156","0,998570573064901","0,997939865848374","0,950151587126926","0,658977563379064","0,636256185087504"
3400000000,"58,275559333333300","29,178385297166700","19,454930146166700","14,617061194166700","10,231629387000000","11,045247405500000","7,633791172000000","1,997216732174420","2,995413445101250","3,986817771317110","5,695628440898820","5,276075509573010","7,633894878744180","0,998608366087210","0,998471148367085","0,996704442829277","0,949271406816470","0,659509438696626","0,636157906562015"
3600000000,"61,711020833333300","30,952487695833300","20,612087307500000","15,483669158000000","10,887546339833300","11,719532922000000","8,085722773000000","1,993733797417540","2,993923900704560","3,985555374738090","5,668037490463440","5,265655316133710","7,632097038919010","0,996866898708768","0,997974633568187","0,996388843684523","0,944672915077240","0,658206914516714","0,636008086576584"
3800000000,"65,144605833333300","32,587944597333300","21,757307316166700","16,365230837666700","11,475946847333300","12,354136389666700","8,539116650833330","1,999040032695530","2,994148351479500","3,980671368435250","5,676621432633330","5,273100747683350","7,628963099710770","0,999520016347765","0,998049450493168","0,995167842108813","0,946103572105556","0,659137593460418","0,635746924975898"
4000000000,"68,541507666666700","34,404097260500000","22,918240734666700","17,275385350833300","12,095797552166700","13,031090335166700","9,012157819666670","1,992248398430160","2,990696731926250","3,967581982960530","5,666555460362280","5,259844410846840","7,605449109767350","0,996124199215081","0,996898910642084","0,991895495740133","0,944425910060379","0,657480551355855","0,633787425813946"
