,Serial,2,3,4,6,8,12
2200000000,"34,2634033333333","17,765327733","10,583009915","7,94838100466667","5,4970333925","4,584842046","3,08648364966667"
2400000000,"37,6070458333333","19,3792903626667","11,5460376213333","8,66937371083333","6,00365728683333","5,00940693633333","3,36808570633333"
2600000000,"40,6383125","20,9942099121667","12,507634894","9,3894748705","6,48676096616667","5,42428472883333","3,6484850555"
2800000000,"43,6672696666667","22,6095560498333","13,4717423383333","10,1134686728333","6,96299676116667","5,84890326133333","3,92996273166667"
3000000000,"46,6103815","24,2240109808333","14,4315266013333","10,8334387003333","7,46265388133333","6,25356748333333","4,20944873033333"
3200000000,"49,5925891666667","25,8389635628333","15,3924465798333","11,5473937453333","7,97884098133333","6,67553373066667","4,48908537133333"
3400000000,"52,6503685","27,4545907201667","16,3574534505","12,2748803033333","8,45905682116667","7,0915572255","4,769823854"
3600000000,"55,5928463333333","29,0680304503333","17,3109753473333","12,9945310961667","8,98759713116667","7,50679352683333","5,05000203133333"
3800000000,"58,7637665","30,6842174271667","18,2719656825","13,7422631133333","9,44695161966667","7,92039972366667","5,32969197433333"
4000000000,"61,8712506666667","32,2983443608333","19,2382886538333","14,4326150413333","9,928733693","8,34248006783334","5,60957047066667"
4200000000,"64,9652445","33,9131486658333","20,1938676676667","15,1578936846667","10,4504380081667","8,7532601425","5,890417256"
4400000000,"67,6198186666667","35,5281441233333","21,1571105373333","15,8817906128333","10,9466056703333","9,168457671","6,17086898383333"
