,Serial,2,3,4,6,8,12
2200000000,"34,326884666666700","15,864070456500000","10,588119948666700","7,944231700333330","5,488590201500000","4,597635370500000","3,087587859000000"
2400000000,"37,684741666666700","17,305134973666700","11,547424944666700","8,666705946333330","5,984655805333330","5,011522986500000","3,373596096666670"
2600000000,"40,778760333333300","18,746455213666700","12,509814643833300","9,387713871500000","6,478438441000000","5,442209100500000","3,652224856500000"
2800000000,"43,857697833333300","20,188579861333300","13,468787415166700","10,108122935000000","6,981386713666670","5,857879145666670","3,935282613500000"
3000000000,"46,925075833333300","21,630053976666700","14,432071064666700","10,830936689500000","7,481002936000000","6,282072083833330","4,219813125166670"
3200000000,"50,084019833333300","23,071676935000000","15,393253859166700","11,551523057000000","7,971302037500000","6,697236642666670","4,504295241000000"
3400000000,"53,013444166666700","24,512856978333300","16,351107455500000","12,272496270666700","8,479621008500000","7,111370121333330","4,784439429500000"
3600000000,"56,119429166666700","25,954410479500000","17,313514989666700","12,994324292666700","8,960369370333330","7,525182187833340","5,069717909333330"
3800000000,"59,226198666666700","27,393521431000000","18,277200401666700","13,717080337666700","9,464115677000000","7,955614934833330","5,353192488166670"
4000000000,"62,396536000000000","28,839115994666700","19,239460205166700","14,439682579000000","9,959534167000000","8,380698478666670","5,639831313833330"
4200000000,"65,310888833333300","30,280413237833300","20,197492877333300","15,158458359333300","10,449602430333300","8,790696899166670","5,919466270333330"
4400000000,"68,314403833333300","31,722564241500000","21,157864285000000","15,877933702500000","10,954277342666700","9,208015377500000","6,203000115333330"
